kegg_id,drug_name,drug_name_jp,drug_name_0_jp
D00098,Camphor (USP); dl-Camphor (JP18),dl−カンフル,dl-カンフル
D00099,Cetanol (JP18); Cetyl alcohol (NF); Cetanol (TN),,セタノール
D00100,Menatetrenone (JP18/INN); Vitamin K2 (TN),グラケー,メナテトレノン
D00101,Vasopressin (JP18/USP); Pitressin (TN); Vasostrict (TN),ピトレシン,バソプレシン
D00102,Nitrous oxide (JP18/USP); Nitrous oxide (TN),アネスタ,亜酸化窒素
D00103,Tartaric acid (JP18/NF); Tartaric acid (TN),酒石酸,酒石酸
D00104,Chloramphenicol (JP18/USP/INN); Amphicol (TN); Chloromycetin (TN); Econochlor (TN),クロマイ,クロラムフェニコール
D00105,Estradiol (JAN/USP/INN); Climara (TN); Divigel (TN); Estrace (TN); Estraderm (TN); Estrasorb (TN); Estring (TN); Estrogel (TN); Innofem (TN); Vagifem (TN); Vivelle (TN),エストラーナ,エストラジオール
D00106,Epoprostenol (USAN/INN); Prostaglandin I2; Prostacyclin; Epoprostenol (TN),,エポプロステノール
D00107,Tacrolimus (USP/INN); Tacrolimus hydrate (JP18); Prograf (TN); Protopic (TN),グラセプター,タクロリムス水和物
D00108,Iodine (JP18/USP); Cadex (TN),ヨウ素,ヨウ素
D00109,Aspirin (JP18/USP); Aspalon (JAN); Acetylsalicylic acid; Easprin (TN); Durlaza (TN),アスピリン,アスピリン
D00109,Aspirin (JP18/USP); Aspalon (JAN); Acetylsalicylic acid; Easprin (TN); Durlaza (TN),バイアスピリン,
D00110,Cocaine (USP); Cocaine (TN),,コカイン
D00111,Lactic acid (JP18/USP); Lactate (TN),乳酸,乳酸
D00112,G-Strophanthin (JAN); Ouabain octahydrate,,G-ストロファンチン
D00113,Atropine (USP); Atropen (TN),,アトロピン
D00114,Fructose (JP18/USP); D-Fructose; Fructon (TN),フルクトン,果糖
D00115,Gelatin (JP18/NF); Gelfilm (TN),スポンゼル,ゼラチン
D00116,Glucagon (genetical recombination) (JP18); Glucagon (JAN/USP/INN); Glucagon (TN),グルカゴンG,グルカゴン
D00117,Guaiacol (JAN); Creodon (TN),クレオドン,グアヤコール
D00118,Naproxen (JP18/USP/INN); Naprosyn (TN),ナイキサン,ナプロキセン
D00119,Stearic acid (JP18/NF); Stearic acid (TN),,ステアリン酸
D00120,Sulindac (JP18/USP/INN); Clinoril (TN),,スリンダク
D00121,Allantoin (JAN/USP),,アラントイン
D00122,Calcifediol (USP/INN); Calcifediol monohydrate; Calderol (TN); Rayaldee (TN),,カルシフェジオール
D00123,Cyanamide (JP18); Cyanamide (TN),シアナマイド,シアナミド
D00124,Ephedrine (USP); Ephedrine (TN),,エフェドリン
D00125,Etoposide (JP18/USP/INN); Vepesid (TN),ベプシド,エトポシド
D00126,Ibuprofen (JP18/USP/INN); Advil (TN); Motrin (TN),イブプロフェン,イブプロフェン
D00127,Piroxicam (JP18/USP/INN); Feldene (TN),,ピロキシカム
D00128,Bacitracin (JP18/USP/INN); Baciim (TN); Bacitracin (TN),,バシトラシン
D00129,Calcitriol (JAN/USP/INN); Rocaltrol (TN),ロカルトロール,カルシトリオール
D00130,Diflunisal (JAN/USP/INN); Dolobid (TN),,ジフルニサル
D00131,Disulfiram (JP18/USP/INN); Antabuse (TN),ノックビン,ジスルフィラム
D00132,Ketoprofen (JP18/USP/INN); Orudis (TN),ケトプロフェン,ケトプロフェン
D00133,Resorcinol (USP); Resorcin (JAN); Resorcin (TN),,レゾルシン
D00134,Albendazole (JAN/USP/INN); Albenza (TN),エスカゾール,アルベンダゾール
D00135,Capreomycin sulfate (JAN/USP); Capastat sulfate (TN),,硫酸カプレオマイシン
D00136,Haloperidol (JP18/USP/INN); Haldol (TN),セレネース,ハロペリドール
D00137,Isopropyl alcohol (USP); Isopropanol (JP18); Isopro (TN),イソプロ,イソプロパノール
D00138,Scopolamine (INN); Transderm scop (TN),,スコポラミン
D00139,Methoxsalen (JP18/USP); Oxsoralen (TN); UVADEX (TN),オクソラレン,メトキサレン
D00140,Erythromycin (JP18/USP/INN); Akne-mycin (TN); Eryc (TN); Erygel (TN); Pce (TN); Staticin (TN); T-stat (TN),エリスロマイシン,エリスロマイシン
D00141,Indomethacin (USP); Indometacin (JP18/INN); Aconip (TN); Indocin (TN),アコニップ,インドメタシン
D00142,Methotrexate (JP18/USP/INN); Otrexup (TN); Xatmep (TN),メソトレキセート,メトトレキサート
D00143,Pregnenolone (JAN/INN),,プレグネノロン
D00144,Pyrazinamide (JP18/USP/INN); Pyrazinamide (TN),ピラマイド,ピラジナミド
D00145,Trimethoprim (JAN/USP/INN); Proloprim (TN); Trimpex (TN),,トリメトプリム
D00146,Corticotropin (USP/INN); ACTH (TN); Acthar (TN),,コルチコトロピン
D00147,Hyoscyamine (USP),,ヒヨスチアミン
D00148,Phytonadione (JP18/USP); Phytomenadione (INN); Mephyton (TN); Vitamin K1 (TN),カチーフ,フィトナジオン
D00149,Parachlorophenol (JAN/USP); p-Chlorophenol,,パラクロロフェノール
D00150,Angiotensin II (INN),,アンギオテンシンII
D00151,Mefenamic acid (JP18/USP/INN); Ponstel (TN),ポンタール,メフェナム酸
D00152,Phloroglucinol (JAN); Dilospan S (TN),,フロログルシン
D00153,Testolactone (USP/INN); Teslac (TN),,テストラクトン
D00154,Santonin (JP18); Santonin (TN),,サントニン
D00155,Pentostatin (JAN/USAN/INN); Nipent (TN),,ペントスタチン
D00156,Glycyrrhetinic acid (JAN); Enoxolone (INN); Hidermart (TN),デルマクリン,グリチルレチン酸
D00157,Glycyrrhizin (JAN); Glycyrrhizic acid,,グリチルリチン
D00158,Tolmetin sodium (JAN/USP); Tolmetin sodium dihydrate; Tolectin (TN),,トルメチンナトリウム
D00159,Frentizole (USAN/INN),,フレンチゾール
D00160,Aminocaproic acid (USP/INN); Epsilon-Aminocaproic acid (JAN); Amicar (TN),,イプシロン-アミノカプロン酸
D00161,Mercaptopurine (USP); Mercaptopurine hydrate (JP18); Purinethol (TN); Purixan (TN),ロイケリン,メルカプトプリン水和物
D00162,Aminosalicylic acid (USP); Pamisyl (TN); Paser (TN),,アミノサリチル酸
D00163,Chenodiol (USAN); Chenodeoxycholic acid (JP18/INN); Chenix (TN),チノ,ケノデオキシコール酸
D00164,Retinol palmitate (JP18); Aquasol A (TN),チョコラ,レチノールパルミチン酸エステル
D00165,Hydrocortisone acetate (JP18/USP); Cortifoam (TN); U-cort (TN),,ヒドロコルチゾン酢酸エステル
D00166,Cyanocobalamin (JP18/USP/INN); Cyomin (TN); Nascobal (TN); Rubramin PC (TN),サンコバ,シアノコバラミン
D00167,Dimercaprol (JP18/USP/INN); BAL (TN),バル,ジメルカプロール
D00168,Cytarabine (JP18/USP/INN); ARA-C; Depocyt (TN),キロサイド,シタラビン
D00169,Meclofenamate sodium (USP); Meclofenamate sodium monohydrate; Meclomen (TN),,メクロフェナム酸ナトリウム水和物
D00170,Hymecromone (JP18/USAN/INN); Cantabiline (TN),,ヒメクロモン
D00171,Inulin (JAN/USP),イヌリード,イヌリン
D00172,Eptacog alfa (INN); Eptacog alfa (activated) (genetical recombination) (JAN); Coagulation Factor VIIa; Coagulation factor VIIa (recombinant)-jncw; Novo- seven (TN); Sevenfact (TN),ノボセブン,エプタコグアルファ
D00173,Evodia fruit (JP18); Evodia fruit (TN),ゴシュユ,ゴシュユ
D00174,gamma-Amino-beta-hydroxybutyric acid (JAN),,ガンマ-アミノ-ベータ-ヒドロキシ酪酸
D00175,L-Carbocisteine (JP18); Mucodyne (TN),カルボシステイン,L-カルボシステイン
D00176,Protirelin (JP18/USAN/INN); Relefact TRH (TN),TRH,プロチレリン
D00177,Methylmethionine sulfonium chloride (JAN); L-Methylmethionine sulfonium chloride; Cabagin U (TN),キャベジン,メチルメチオニンスルホニウムクロライド
D00178,Octopamine hydrochloride (JAN),,塩酸オクトパミン
D00179,Androstenediol (JAN); Tetrabol (TN),,アンドロステンジオール
D00180,Alprostadil (JP18/USP/INN); Prostin VR pediatric (TN); Caverject (TN); Edex (TN); Muse (TN),パルクス,アルプロスタジル
D00181,Argatroban (USP); Argatroban hydrate (JP18); Novastan (TN),スロンノン,アルガトロバン水和物
D00182,Norethindrone (USP); Norethisterone (JP18); Camila (TN); Micronor (TN); Primolut-N (TN),ノアルテン,ノルエチステロン
D00183,Nalidixic acid (JP18/USP/INN); NegGram (TN),,ナリジクス酸
D00184,Cyclosporine (USP); Ciclosporin (JP18); Gengraf (TN); Neoral (TN); Restasis (TN); Sandimmune (TN),サンディミュン,シクロスポリン
D00185,Estriol (JP18/USP); Estriel (TN),エストリオール,エストリオール
D00186,Ciprofloxacin (JP18/USP/INN); Cipro (TN); Otiprio (TN),シプロキサン,シプロフロキサシン
D00187,Ergocalciferol (JP18/USP); Vitamin D2; Calciferol (TN); Drisdol (TN),,エルゴカルシフェロール
D00188,Cholecalciferol (JP18/USP); Colecalciferol (INN); Vitamin D3; Delta-D (TN),,コレカルシフェロール
D00189,Pregnanediol (JAN); Diol (TN),,プレグナンジオール
D00190,Rutin hydrate (JAN); Rutin trihydrate,,ルチン水和物
D00191,Vitamin B12; Nascobal (TN),,ビタミンB12
D00192,Phenylethyl alcohol (USP),,フェニルエチルアルコール
D00193,Dexpanthenol (USP/INN); Panthenol (JAN); Ilopan (TN),パントール,パンテノール
D00194,d-Limonene (JAN); Limonene,,d-リモネン
D00195,Codeine (USP); Codeine hydrate,,コデイン
D00196,Physostigmine (USP); Eserine (TN),,フィゾスチグミン
D00197,Reserpine (JP18/USP/INN); Apoplon (TN); Serpalan (TN),,レセルピン
D00198,Rescinnamine (JAN/INN); Tsuruselpi S (TN),,レシナミン
D00199,Ajmaline (JP18); Ajimalin (TN),,アジマリン
D00200,Cianidanol (JAN/INN),,シアニダノール
D00201,Tetracycline (JAN/USP/INN); Sumycin (TN),,テトラサイクリン
D00202,Nystatin (JP18/USP/INN); Mycostatin (TN),,ナイスタチン
D00203,Amphotericin B (JP18/USP/INN); Ambisome (TN); Amphotec (TN); Fungizone (TN),アムビゾーム,アムホテリシンB
D00204,Ampicillin (USP/INN); Anhydrous ampicillin (JP18); Omnipen (TN),,無水アンピシリン
D00205,Oxytetracycline (JAN/USP/INN); Oxytetracycline dihydrate; Terramycin (TN),,オキシテトラサイクリン
D00206,Imipenem (USP); Imipenem hydrate (JP18),,イミペネム水和物
D00208,Mitomycin (USP/INN); Mitomycin C (JP18); MMC; Jelmyto (TN); Mitomycin (TN); Muamycin (TN),マイトマイシン,マイトマイシンC
D00209,Griseofulvin (JAN/USP/INN); Gris-peg (TN); Grisactin V (TN),,グリセオフルビン
D00210,Norfloxacin (JP18/USP/INN); Noroxin (TN),ノフロ,ノルフロキサシン
D00211,Rifampin (USP); Rifampicin (JP18/INN); Rifadin (TN); Rimactane (TN),リファジン,リファンピシン
D00212,Vancomycin (USP); Vancocin (TN),,バンコマイシン
D00213,Fusidate sodium (USAN); Sodium fusidate (JP18); Fucidin leo (TN),フシジンレオ,フシジン酸ナトリウム
D00214,Dactinomycin (USP); Actinomycin D (JP18); Cosmegen (TN),コスメゲン,アクチノマイシンD
D00215,Trolamine (NF); Mobisy (TN),,トロラミン
D00216,Acarbose (JAN/USAN/INN); Precose (TN),,アカルボース
D00217,Acetaminophen (JP18/USP); Paracetamol (INN); Tylenol (TN),アセトアミノフェン,アセトアミノフェン
D00218,Acetazolamide (JP18/USP/INN); Diamox (TN),ダイアモックス,アセタゾラミド
D00219,Acetohexamide (JP18/USP/INN); Dymelor (TN),,アセトヘキサミド
D00220,Acetohydroxamic acid (USP/INN); Lithostat (TN),,アセトヒドロキサム酸
D00221,Acetylcysteine (JP18/USP/INN); Mucomyst (TN),アセチルシステイン,アセチルシステイン
D00222,Acyclovir (USP); Aciclovir (JP18/INN); Sitavig (TN); Zovirax (TN),アシクロビル,アシクロビル
D00223,Lincomycin (USAN/INN); LCM,,リンコマイシン
D00224,Allopurinol (JP18/USP/INN); Zyloprim (TN),アロプリノール,アロプリノール
D00225,Alprazolam (JP18/USP/INN); Xanax (TN),ソラナックス,アルプラゾラム
D00225,Alprazolam (JP18/USP/INN); Xanax (TN),コンスタン,
D00226,Amifostine (USP); Amifostine hydrate; Ethyol (TN),,アミフォスチン水和物
D00227,Aminophylline (USP/INN); Somophyllin (TN); Theophylline ethylenediamine (TN),,アミノフィリン
D00228,Amoxapine (JP18/USP/INN); Asendin (TN),アモキサン,アモキサピン
D00229,Amoxicillin (USP); Amoxicillin hydrate (JP18); Amoxicilline (INN); Amoxicillin trihydrate; Amoxil (TN); Dispermox (TN); Pasetocin (TN),アモキシシリン,アモキシシリン水和物
D00230,Amoxicillin and potassium clavulanate; Amoxicillin and clavulanate potassium,,アモキシシリン・クラブラン酸カリウム
D00231,Inamrinone (USP); Amrinone (JAN/INN); Amcoral (TN),,アムリノン
D00232,Anisotropine methylbromide (USAN); Octatropine methylbromide (INN); Methyloctatropine bromide (JAN); Valpin (TN); Valpin 50 (TN),,メチルオクタトロピン臭化物
D00233,Anthralin (USP); Dithranol (INN); Anthraderm (TN),,アントラリン
D00234,Astemizole (JAN/USP/INN); Hismanal (TN),,アステミゾール
D00235,Atenolol (JP18/USP/INN); Tenormin (TN),テノーミン,アテノロール
D00236,Atovaquone (JAN/USP/INN); Mepron (TN),サムチレール,アトバコン
D00237,Auranofin (JP18/USAN/INN); Ridaura (TN),,オーラノフィン
D00238,Azathioprine (JP18/USP/INN); Azasan (TN); Imuran (TN); Jayempi (TN),アザニン,アザチオプリン
D00240,Aztreonam (JP18/USP/INN); Azactam (TN),アザクタム,アズトレオナム
D00241,Baclofen (JP18/USP/INN); Kemstro (TN); Lioresal (TN),ギャバロン,バクロフェン
D00242,Benzonatate (USP/INN); Tessalon perles (TN),,ベンゾナテート
D00243,Benzquinamide (USAN),,ベンズキナミド
D00244,Betamethasone (JP18/USP/INN); Celestone (TN); Rinderon (TN),リンデロン,ベタメタゾン
D00245,Bisacodyl (JP18/USP/INN); Dulcolax (TN),テレミンソフト,ビサコジル
D00246,Budesonide (JP18/USP/INN); Entocort EC (TN); Pulmicort (TN); Rhinocort (TN); Uceris (TN),コレチメント,ブデソニド
D00247,Bumetanide (JP18/USP/INN); Bumex (TN),,ブメタニド
D00248,Busulfan (JP18/USP/INN); Myleran (TN),ブスルフェクス,ブスルファン
D00249,Calcitonin salmon (JP18/USP/INN); Salmon calcitonin; Calcimar (TN); Fortical (TN); Miacalcin (TN),,カルシトニン サケ
D00250,Capsaicin (JAN/USP); Zostrix (TN),,カプサイシン
D00251,Captopril (JP18/USP/INN); Apopril (TN); Capoten (TN),カプトリル,カプトプリル
D00252,Carbamazepine (JP18/USP/INN); Equetro (TN); Tegretol (TN),テグレトール,カルバマゼピン
D00253,Carbidopa hydrate and levodopa; Parcopa (TN); Sinemet (TN),デュオドーパ,レボドパ・カルビドパ水和物
D00254,Carmustine (JAN/USP/INN); Bicnu (TN); Gliadel (TN),ギリアデル,カルムスチン
D00255,Carvedilol (JP18/USP/INN); Artist (TN); Coreg (TN),アーチスト,カルベジロール
D00256,Cefaclor (JP18); Cefaclor anhydrous; Alenfral (TN),ケフラール,セファクロル
D00257,Cefadroxil (JAN); Sumacef (TN),,セファドロキシル
D00258,Cefixime (INN),,セフィキシム
D00259,Ceforanide (USP/INN); Precef (TN),,セフォラニド
D00260,Cefotetan (JP18/USP/INN),,セフォテタン
D00261,Cefprozil (USP); Cefprozil monohydrate; Cefzil (TN),,セフプロジル水和物
D00262,Cefuroxime (USAN/INN); Cefuroxime (TN),,セフロキシム
D00263,Cefalexin (JP18); Cephalexin; Keflex (TN),ケフレックス,セファレキシン
D00264,Cephradine (USP); Cefradine (JAN/INN); Anspor (TN); Velosef (TN),,セフラジン
D00265,Chloral hydrate (JP18/USP); Noctec (TN),エスクレ,抱水クロラール
D00266,Chlorambucil (JAN/USP/INN); Leukeran (TN),,クロラムブシル
D00267,Chlordiazepoxide (JP18/USP/INN); Libritabs (TN),クロルジアゼポキシド,クロルジアゼポキシド
D00268,Chlormezanone (JAN/INN); Trancopal (TN),,クロルメザノン
D00269,Chlorotrianisene (INN); TACE (TN),,クロロトリアニセン
D00270,Chlorpromazine (USP/INN); Thorazine (TN),,クロルプロマジン
D00271,Chlorpropamide (JP18/USP/INN); Diabinese (TN),,クロルプロパミド
D00272,Chlorthalidone (USP); Chlortalidone (JAN/INN); Hygroton (TN); Thalitone (TN),,クロルタリドン
D00273,Cidofovir (USAN/INN); Cidofovir dihydrate; Vistide (TN),,シドフォビル
D00274,Cisapride (USP/INN),,シサプリド
D00275,Cisplatin (JP18/USP/INN); Platinol (TN),アイエーコール,シスプラチン
D00276,Clarithromycin (JP18/USP/INN); Biaxin (TN),クラリシッド,クラリスロマイシン
D00277,Clindamycin (USAN/INN); Cleocin (TN),,クリンダマイシン
D00278,Clofazimine (JAN/USP/INN); Lamprene (TN),ランプレン,クロファジミン
D00279,Clofibrate (JP18/USP/INN); Atromid-S (TN),クロフィブラート,クロフィブラート
D00280,Clonazepam (JP18/USP/INN); Klonopin (TN),ランドセン,クロナゼパム
D00281,Clonidine (JAN/USP/INN); Catarpres-TTS (TN),,クロニジン
D00282,Clotrimazole (JP18/USP/INN); Lotrimin (TN); Mycelex (TN),エンペシド,クロトリマゾール
D00283,Clozapine (JAN/USP/INN); Clozaril (TN),クロザリル,クロザピン
D00284,Cosyntropin (USP); Tetracosactide (INN); Cortrosyn (TN),,コシントロピン
D00285,Co-Trimoxazole (BAN); Sulfamethoxazole and trimethoprim; Bactrim (TN); Septra (TN),ダイフェン,スルファメトキサゾール・トリメトプリム
D00286,Cyclandelate (JAN/USP/INN); Cyclospasmol (TN),,シクランデラート
D00287,Cyclophosphamide (USP); Cyclophosphamide hydrate (JP18); Cytoxan (TN); Neosar (TN),エンドキサン,シクロホスファミド水和物
D00288,Dacarbazine (JAN/USP/INN); DTIC-Dome (TN),ダカルバジン,ダカルバジン
D00289,Danazol (JP18/USP/INN); Danocrine (TN),ボンゾール,ダナゾール
D00290,Demeclocycline hydrochloride (USP); Demethylchlortetracycline hydrochloride (JP18); Declomycin (TN),レダマイシン,デメチルクロルテトラサイクリン塩酸塩
D00291,Desmopressin (INN),,デスモプレシン
D00292,Dexamethasone (JP18/USP/INN); Decadron (TN); Maxidex (TN),アフタゾロン,デキサメタゾン
D00293,Diazepam (JP18/USP/INN); Diastat (TN); Valium (TN),ジアゼパム,ジアゼパム
D00294,Diazoxide (JAN/USP/INN); Hyperstat (TN); Proglycem (TN),ジアゾキシド,ジアゾキシド
D00295,Cimetidine (JP18/USP/INN); Tagamet (TN),カイロック,シメチジン
D00296,Didanosine (JAN/USP/INN); Videx (TN),,ジダノシン
